video_id,title,upload_date,keyword,transcription
JvaXD5mVUy0,Bici Perugia,11 years ago,biciclette," We are now at the benefit of it It made you count She holds you captivated in her pound Suddenly I see, this is what I wanna be Suddenly I see, why the hell, like walking the world And you can hear she's a beautiful girl, she's a beautiful girl She fills up every corner like she's born in black and white Makes you feel warmer when you're trying to remember what you're She likes to leave you hanging on a worm Suddenly I see This is what I wanna be Suddenly I see Why the hell it means so much to me? Suddenly I see, this is what I wanna be Suddenly I see, why the hell it means so much to me? And she's all of the most, and she's looking at me I can see her eyes looking from the page of a magazine She makes me feel like I could be a tower, big stone tower, yeah The power to be, the power to give, the power to see, yeah, yeah Suddenly I see She got the power to be, the power to give, the power to see, yeah, yeah Suddenly I see She got the power to be, the power to give, the power to see, yeah, yeah Suddenly I see She got the power to be, the power to give, the power to see, yeah, yeah Suddenly I see Why the hell it means so much to me Suddenly I see Why the hell it means so much to me"
hYY0dTV-bWc,Racing Bikes Perugia,10 years ago,biciclette, I បានានានានានានានានានានានានានានានានានានានានានានានរිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට කිරීමට ක you
ecByDMska70,Urban Downhill in Italy - Perugia Minimetrò,8 years ago,biciclette," He may contain the urge to run away But hold her down with soggy clothes and breeze blocks Citrus in your fever scream me again Have I kissed her? So do you ever send off old stuff? Do you know where the mothings go? They go along to take your honey Way down a weed, build a breakfast town And say my love sleep my love my love love love La la la la, monster the monster head toe to toe The bearers bring me but here I go, build a breakfast now Let's eat my love, my love, my love She bruises cause, she's blood as pistol shells Hold her down with soggy clothes and breeze blows She's morphine, queen of my vaccine My heart sings as I jump up The ironing board's turned as my shawl's gone She may contain the urge to run away But hold her down with soggy clothes and breeze blocks Jemeline, disinfect the scene My love, my love, so, I love you so Please don't go, please don't go I love you so, I love you so Please don't go, please don't go I love you so, I love you so Please break my heart Please don't go, please don't go I love you so, I love you so Please don't go, please don't go I love you so, I love you so Please break my heart Please don't go"
SAA7a5xDmHE,"PERUGIA DOWNTOWN 2024 ENDURO CIRCUIT UMBRIA  IN SELLA CON ""CAVALLO PAZZO"" MR BIKE GRAVITY TEAM",9 months ago,biciclette," I am the difference between what it means to be good when you're trying to be epic No, you don't gotta believe in me. Nothing could stop me. I already said it. I'm taking everything They stole from us. You got your problems. I'm a whole nother I'm giving people something to believe in I'm a show on freedom like a 5 4 3 2 1 Go, go! Go! Hey! I'm gonna go to the other side. S'il vous plaît, attention! Come on, come on, come on! uh 5 4 3 2 1 vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai vai Oh Ah! ah oh Where? cazzo huh porca mad Dio cani! Se staritti! Dai! Merda! Fine? so Got it! Come on, don't. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Oh.はぁいや cazzo merda Merde ah Ah. ah You're a gun! Oh, God."
aE8-x_6Chjg,Just BMX Perugia,4 years ago,biciclette, Oh Я был! Yeah boy! oh so You
aJIPnPMZ6Yw,Fano - Perugia in bicicletta,5 years ago,biciclette, La Forteata Albornoz Guardate che bello arrivato a Desyar dove si vede tutto il Lombokyan
eqAAJ-lK5gg,Passing Through Perugia | Cycle Touring | Italy | Chapter 7,9 years ago,biciclette," After four and a half months in Morocco and 52 hours on the boat we are now in Livorno in Italy. You look like you're reading off some notes. Oh yeah I do. Why would you get photos of the Leaning Tower of Pisa when you can take shots of tourists getting selfies? We're in Florence, currently waiting for the couchs. We've done him a promo video and we're waiting for some new tires to be delivered in a couple of days so we can get the boat to Croatia. Take care guys. Bye."
8Z3TETZgSMU,GARA - Perugia Down Town [Enduro Circuit Umbria],1 year ago,biciclette," Ah, dark 5 4 3 2 1 vai Allez, allez ! Allez, allez, allez !はっ!アンクだ Whew. What? Listo? Listo? You ready? Fini un tour ? Buna, cum răbele, p-ai vedea? Tutto a destra! la forcella? Vistar o centro, vai cara! oh cool Uhhh! Fanculo! Dove? Di qua? C'è un cazzo di marshal lì che ti dice dove andare. Affanculo. Oh Oh A7C Dov'è? Da me, da me, da me! Cazzo! Non la sapevo questa! oh Hey! Hey! Yeah PAPKIO!!! Kacliwakie! 뭐? 다 했어? 이거야? adesso? 10 secondi al via 5 4 3 2 1 vai Maaa tutto a scigan! Che cazzo! mamma mia... di pattina! che terreno di merda! Woo. Whew Oh my god. Mamma mia! Que roba che! Dove? Dove? È finita? Eh sì! Ma non mi hai detto niente! 1.43. Fermo! Ma se tu hai capito dove era la fine? Oh no! Controllo! 1, 2, 3. Tutta la parte destra! 2 e 3! Ok, su!"
0cRpk9ePuRI,[EP1] PERUGIA 180 KM IN BICI,3 years ago,biciclette,"お前はもう死んでいる何? Fino al 20! C'è una discesa! Non so quanto tempo sto facendo questa salita! Anche se è minima, va benissimo! Sono con questo signore che mi sta salvando le chiappe! E questo non c'è rimasto a piedi! Esatto! La mia bici è stata aggiustata, è rimasto solo l'ultimo passo da fare! His work looks inside the barrel I'm guessing susceptible to your suggestion on my own again, on my own again, on my own again, I'm on my own again, oh Ничего я не знаю, ничего, чё ты плачешь? Почему на меня ты смотришь?"
FoVi0UjWhc4,Umbria Cycling Tour: Old-World Traditions in the heart of Italy,12 years ago,biciclette, you 1.5 cm. Oh you
