video_id,title,upload_date,keyword,transcription
i-2wSOaCzaM,"Terni, incendio all'inceneritore ASM, in fiamme rifiuti",3 years ago,inceneritore, PCM 8233
e-oAbWoquwA,"Inceneritore di Terni, M5s: «Il Comune sapeva, Corridore si dimetta»",1 year ago,inceneritore," Fumi dall'impianto Bioter non si capisce se ci sono le autorizzazioni o meno, se c'è la volontà di riaccendere l'impianto oppure no, rassicurazioni che arrivano dal Comune. Che cosa rivela oggi il MoVimento 5 Stelle? Il Comune sapeva tutto. Sapeva tutto da mesi, almeno da luglio, non solo, nel momento in cui hanno fatto quella sceneggiata e si sono presentati all'impianto, il giorno prima avevano convocato la riunione con Regione, con gli enti e con le richieste dell'azienda. L'azienda aveva regolarmente richiesto e comunicato le attività di soffiatura e aveva specificato e comunicato già a luglio, ma ribadito anche a fine dicembre, che tali attività erano finalizzate attività preliminari all'avviamento della centrale. Attività, eccolo qua, valutazioni tecniche sulle componenti dell'impianto necessarie alla rattivazione dello stesso. Quindi si parla di oltretutto incontri informali, riunioni attestate all'interno degli atti ufficiali che sono avvenuti durante questi mesi. Ora mi chiedo, dopo tutte le offese, dopo tutta la dialettica che c'è stata, io credo che l'unica cosa che possa fare in questo momento il Vice Sindaco Corridore è quella prima ovviamente di chiedere scusa e poi di mettersi immediatamente."
iuATxzKjW0E,"Inceneritore a Terni, la Salvati spiega i motivi del no ad Acea",5 years ago,inceneritore," Questo impianto insiste nell'area della Regione in cui le condizioni della qualità dell'aria sono peggiori. Continuare a stabilizzare una situazione come quella esistente sarebbe non proprio dal punto di vista di un'amministrazione che tende a migliorare queste condizioni. Possiamo dire un no tecnico e non politico? Assolutamente un no tecnico che tenga conto, che tiene conto dei dati sia ambientali che sanitari e che ci ha supportato per le manovre di questo governo."
YmameRqT_lo,"TERNI,  CASO ASM: CSS NELL'INCENERITORE DI TERNI",3 years ago,inceneritore," La società ASM, Terni S.p.a. ha avanzato la proposta di tornare a bruciare nell'inceneritore di Terni il combustibile solido secondario prodotto dalla sezione della raccolta differenziata dei rifiuti solidi urbani. È quanto reso noto nella seduta odierna della seconda commissione che aveva come oggetto l'audizione dei gestori degli impianti di trattamento dei rifiuti in merito al PNRR dell'Umbria. Nell'intervento immediatamente successivo, i rappresentanti di Acea hanno affermato la loro disponibilità ad accogliere i rifiuti prodotti nell'inceneritore Acea Ambiente di Terni, anche in considerazione della richiesta di modifica dell'AIA pendente dal 2014 per il nuovo combustibile. Secondo i consiglieri di opposizione, sarebbe uscita allo scoperto l'indicazione politica della Lega nel comune di Ternia in regione dell'Umbria. In una nota, Thomas De Luca, Fabio Paparelli, Michele Bettarelli e Vincenzo Bianconi per il Movimento 5 Stelle, PD e Gruppo Misto puntano il dito contro la privatizzazione e la cessione del 49% di quotidiasm che porterebbe l'Umbria ad un salare monnezza dentro l'inceneritore di Terni. Questo è il loro unico obiettivo. Ora in commissione. Questo è quello che hanno detto poco fa."
kSlpN6u-WeU,"Terni, l'istanza Acea per rifiuti urbani inceneritore Maratta: «No del Comune. Spero sia vincolante»",5 years ago,inceneritore," Perché questo impianto insiste nell'area della Regione in cui le condizioni della qualità dell'aria sono peggiori. Continuare a stabilizzare una situazione come quella esistente sarebbe, non proprio dal punto di vista di un'amministrazione che tende a migliorare queste condizioni. Possiamo dire un no tecnico e non politico? Assolutamente un no tecnico che tenga conto dei dati sia ambientali che sanitari e che ci ha supportato per l'emanazione di questo paese. Quanto questo parere negativo del Comune sarà vincolante? Spero che sia veramente vincolante e che si tenga conto delle motivazioni che sono state inserite all'interno del parere stesso. Sono motivazioni tecniche che si basano su dati certi, su studi pubblicati dai principali organi che si occupano sia dell'ambiente che della sanità dei nostri cittadini. Avete parlato anche del fatto che un eventuale parere positivo comunque, un arcamento della tipologia di difesa di un cittadino di Maratta avrebbe portato a una stabilizzazione dell'infine del ciclo dei rifiuti? Non solo una stabilizzazione del ciclo dei rifiuti prima che venga rivisto il piano regionale dei rifiuti, quindi un ragionamento al contrario rispetto a quello che si dovrebbe fare, ma una stabilizzazione delle condizioni ambientali di questa città. Noi abbiamo bisogno che le condizioni ambientali di questa città migità è data anche se non è vincolante perché essendo rifiuti speciali, ancorché di provenienza urbana, non hanno il vincolo di territorialità, però i rifiuti che verranno, semmai conferiti qui, saranno rifiuti prima dell'Umbria e semmai extra-regionali. Avete più volte specificato che sperate che questo parere negativo venga accolto e aggiungo io in primis dalla Regione Umbria e dalla nuova amministrazione. Certo, dalla Regione Umbria, dalla nuova amministrazione, dagli uffici tecnici, tutti dovranno tener conto di quanto noi abbiamo riportato in questo parere e attendiamo anche di sapere che cosa gli altri enti hanno, siccome gli altri enti si sono spesso rispetto a questo."
UAWM6U1pmWA,inceneritore terni acea m5s,10 years ago,inceneritore," In cui Acea ha pubblicato l'istanza di appeo per la procedura di ripiesta delle autorizzazioni per bruciare il Pioli. Noi non crediamo che questa informazione in realtà non fosse già in mano all'interno di Palazzo Spada, non fosse già di dominio comune. E quindi ci chiediamo se questa informazione pubblicata il giorno dopo i risultati del ballottaggio in realtà se fosse stata diffusa una settimana prima o addirittura fosse stata diffusa un mese prima se i risultati e poi l'esito delle elezioni amministrative a Terni avrebbero avuto lo stesso risultato e avrebbero avuto la vittoria della riconferma del sindaco uscente."
k57pia1u6WY,"Incendio inceneritore di Terni, impianto Asm, nessun pericolo",4 years ago,inceneritore," Un incendio è divampato questa mattina all'interno di un'area di stoccaggio rifiuto del Lasben, nella zona di Maratta a Terni. Le fiamme hanno coinvolto un capannone all'interno dell'area adiacente all'ex inceneritore, provocando anche una densa colonna di fumo. Sul posto sono intervenute tre squadre e cinque mezzi dei Vigili del Fuoco che sono riusciti ad evitare la propagazione del rogo ad altre strutture. Per causa in corso di accertamento le fiamme hanno riguardato dei nastri trasportatori dell'impianto di preselezione dei rifiuti, ingenti i danni ai macchinari e al materiale. Oltre ai Vigili del Fuoco sul posto anche un nucleo NBCR sono intervenuti i carabinieri forestali, polizia, personale ARPA e i tecnici del comune con l'assessore salvati. Per l'ARPA i risultati delle prime rilevazioni effettuate non hanno evidenziato situazioni di pericolo per la popolazione o l'ambiente."
sI3XaKZkl2g,"Terni, ambiente e inceneritore: parla Catiuscia Marini",8 years ago,inceneritore," Presidente crede di aver convinto i Ternani? lo sblocca Italia consentirà di fare accordi interregionali su cui stiamo lavorando per la chiusura del ciclo, i comuni hanno un impegno diretto che devono adempiere come da delibera regionale, di innalzare il più possibile la raccolta differenziata e di tendere a dei quantitativi che portino tutta l'Umbria ad una media del 65% il prima possibile, poi anche del 70-72 perché perché è fattibile, ma insomma diamoci le diverse tappe. Il secondo è che hanno un compito i comuni con il nuovo ambito regionale unico, superiamo la frammentazione, bisogna che guidino la riorganizzazione delle loro società perché le società di gestione molte sono pubbliche, comunali, molte sono partecipate dai comuni, dobbiamo avere un sistema unitario dell'Umbria, semplificato, con un'impiantistica molto moderna che spinge anche di più e meglio al riciclo e al riuso, c'è anche una parte di industria che è disponibile a fare investimenti in questo settore, quindi per perseguire una strategia di riduzione dei rifiuti o come alcuni dicono i rifiuti zero bisogna attuare anche un lavoro organico, sistematico che il piano regionale dei rifiuti prevede e che mette a disposizione delle amministrazioni comunali. Molti comuni dell'Umbria lo stanno facendo già con uno sforzo vero, organizzativo e gestionale quindi è possibile farlo in tutta la Regione. E gli accordi interregionali ci permetteranno anche di chiudere il ciclo dei rifiuti senza dover ricorrere ad impianti di termovalorizzazione nel nostro territorio regionale, non solo a Terni ma in tutta l'Umbria."
DsjQwIB7jGA,"Inceneritore Terni, Latini e l'istanza Acea: «Gli impianti si possono anche delocalizzare»",5 years ago,inceneritore," Ritengo che i procedimenti autorizzatori debbano essere valutati in una visione etnospetica, questo è il senso. Dobbiamo valutare due cose. Perché si vuole di fatto stabilizzare una situazione di chiusura del cito di rischio di umbri? Non ci preoccupiamo, come dicevo tanto, che quelli di Roma possano arregarli per un groppo di altro in questo momento. Perché stabilizziamo questa situazione ambientale, questa situazione di impidio sulla diretta di proprio qui, senza di dell'attuazione del piano regionale e in presenza di, di fatto, una necessità di rivederlo? Questa è la prima riflessione. La seconda riflessione, perché sta attivizzando sempre senza del punto di vista internazionale? Proprio nell'area dal punto di vista ambientale più critica della regione? Soltanto perché come dice giustamente la sessore c'è, in chiaro si derogalizzano una, cioè questo deve essere abbastanza chiaro. Quindi il ragionamento è ad oggi quello esiste, ad oggi è autorizzato, ad oggi brucia. Su questo ci possiamo fare ben poco, ma ogni attività ha un suo scirlo, ha una sua fine, ha una sua repetitività, ha una sua storia. Se noi tramiamo questi presupposti, cambiamo anche la storia, anzi, cambiamo il futuro, la prospettiva. Questo deve essere la nuova considerazione. Nessuno oggi ci può dire che magari perdiamo 5 anni quando l'autorizzazione dovrà essere rivista, non sarà più conveniente andare a bruciare quei libri di fiudi che adesso esistono. Di certo se si stabilisce una situazione così com'è, continuerà a essere conveniente perché rientrerà un piatto a servizio della Regione per quanto riguarda lo smaltimento dei fiuti e siccome tanto non possiamo più andare a conferire rischio di fischiare in qualche modo, che ce lo dobbiamo fare con queste fiori, però non è un concetto di fatto corretto se ci riguardiamo dal punto di vista ambientale e sanitario in una visione un attimino più allungor sindaco deve fare, andare a verificare quali sono gli impatti che ci possono avere per la storia dei cittadini e non stabilizzarli ma cercare di di rimuoverli in qualche modo, nel valore di quelle che sono le strutture legittime. Certo non è che il posto non dà mai il catenassimo a un'impianta autorizzata, questo non serve, poi abbiamo i carabinieri, però il senso è guardiamo le cose con una prospettiva, andiamo a verificare quali sono le effettive necessità di una regione dal punto di vista della gestione del cito di rifiuti. Cacchiamo come chiude il cito di rifiuti. Una volta che abbiamo fatto questo andiamo a vedere dove e quali impianti devono essere collocati. Certo è che dal mio punto di vista il principale obiettivo è quello di recuperare il più possibile i rifiuti in più possibile, perché così si limitano tutte quelle che sono le possibili poi forme ulteriori di chiusura del ciclo. Poi dopo sulla chiusura definitiva, perché qualche modo questi rifiuti, qualcosa da cartaccia, bisogna che ci facciamo dei ragionamenti, ma di fatto quello che io ritengo, una volta che questi ragionamenti siano compusi, credo che la nostra funga per una tarda deve essere invece esclusa da quelle che sono le possibilità di leare i possibili per le virtuali lini artistiche all'inizio del suonato o quello che sarà possibile. Certo, se venite le fatte, nell'area del tempo, con i salutiati del regolamento che stavamo lavorando, c'è quello ben detto, perché la nostra penalità è aumentare la raccolta differenziale il più possibile, aumentare il più possibile il recupero dei parti recuperabili dei testi. Sul resto le parere mi sembrano abbastanza ideali."
-D4GReyxkN0,"Inceneritore Terni, Matteo Salvini, la Lega Nord è con i consiglieri regionali",7 years ago,inceneritore," Continua la nostra presidia e soprattutto l'occupazione del Consiglio regionale perché quando si tratta di salute la Lega non si tira indietro. L'inceneritore di Terni deve essere messo in sicurezza e la Regione deve dare una risposta seria per il problema rifiuti. testimonianze di fiducia e solidarietà, grazie Lega, perché sulla salute non si scherza, ci sono in ballo posti di lavoro, c'è in ballo la salute di tanti figli e quindi che il PD, se ha tempo, fra le primarie, le secondarie, le scissioni, le contro scissioni, i renziani, i bersagnani, i dalemiani, si occupi un po' anche di Terni, un po' anche di Umbria. Tenete duro finché potete, spero di arrivare anch'io personalmente per dare una risposta a tanti cittadini che meritano risposta. Grazie."
