video_id,title,upload_date,keyword,transcription,drop-flag
frDawX9AtV8,La generazione operaia alle acciaierie di Terni,7 years ago,acciaieria,"Qui di fronte a noi abbiamo il laminatoio verticale. Mio nonno lavorava nell'area a caldo principalmente, che è l'area in realtà più vecchia. Mio nonno era figlio di mezzadri, quindi l'ingresso in fabbrica non era stata solo un'emancipazione di carattere economico, ma lo era stato soprattutto di carattere culturale, di consapevolezza. Oggi mi è capitato di intercettare, confrontandomi con operai della mia età che non hanno un'ideologia politica di riferimento, è che il lavoro in fabbrica è visto in qualche modo come quasi una scorciatoia, un modo di accedere a un posto sicuro con garanzie salariali. Ai tempi era, dal punto di vista occupazionale, un riferimento sicuro, ma è anche vero che si studiava meno. Chi si laurea, chi fa un dottorato, in qualche modo spera di non lavorare in fabbrica, spera di lavorare in un altro contesto, questo è sicuro. Quanto meno, il 90% dei miei amici e prima compagni delle scuole superiori piuttosto che compagni poi dell'università che nascendo a Terni per poter fare il lavoro che desideravano fare hanno dovuto spostarsi, questo sì. Mio padre era un lavoratore di questo stabilimento, è entrato nel 68. Io sono entrato nel 1998. Credo che sia cambiata radicalmente. È cambiata sia dal punto di vista produttivo, è cambiata anche la modalità di approccio che i lavoratori hanno, secondo me. C'è una generazione completamente nuova, i lavoratori che fanno parte di questo sito siderurgico rispecchiano quello che è la società attuale di oggi, una società che sicuramente rispetto a quella che era nel passato, non dico che è vittima, ma subisce quella che è la crisi di un sistema istituzionale di rappresentanza. Non è più solo la città dell'acciaio, non lo è abbastanza, però la tonalità della città rimane quella della sua cultura operaia, nonostante un po' la presa di distanza di molte persone di nuove generazioni da questa tradizione. Da una parte rappresenta un possibile rifugio di garanzia, dall'altra rappresenta una sconfitta, rappresenta per molti il passato, un senso di qualcosa di antico, di vecchio, per altri invece rappresenta la stragrande modernità. Si muove su questo dilemma, se è una certezza o se è una sconfitta, se è il passato o se è il futuro. Qui ci troviamo al Circolo Lavoratori Terni, il circolo più grande della Regione Umbria, è un circolo storico, il Circolo dei Dipendenti dell'Acciaio Speciale Terni. I soci si avvicinano a circa 8 mila e sono una platea ampia che va dai dipendenti attualmente in servizio al personale in quiescenza e ai terzi che non hanno mai magari lavorato all'interno dell'azienda ma che colgono l'opportunità per godere dei servizi che un circolo, il circo lavoratori Terni può offrire. di e mi illustro alla città con la qualità del loro prodotto però mi sento pienamente parte di Acciai Speciali Eterni nonostante non sia dentro la fabb. Dei miei amici ce ne sono diversi che lavorano in acciaieria. Quelli che non hanno scelto di lavorare in acciaieria qualcuno è andato via, io per esempio ho un mio fratello che vive a Parigi, ho un architetto, un grande amico mio che adesso lavora a New York e ci sono amici che lavorano in acciaieria non credo che uno sia meglio dell'altro ognuno ha seguito la sua strada. Il livello di fabbrica, acciaieria, non... sono sincero, da quando ho finito la scuola ho subito preso il ramo del sociale quindi diciamo che è una realtà un po' distaccata dalla mia. Avendo vissuto da vicino, perché mio padre era un operaio, è stata una realtà che forse non mi ha così ispirato, visto che comunque si tratta di fare i turni, stare rinchiusi in fabbrica. Mio padre lavora all'interno del magazzino come operaio e fa il delegato sindacale. Cioè almeno io vorrei ambire a qualcosa di più. Vorrei prendere l'università per poi andare a fare scienze umane e psicologia. Ho papà e prima c'era nonno quindi sì assolutamente una famiglia di operai. Vedendo la vita che fa papà preferisco quella d'allenatrice. È dura, turni, le notti, primo, secondo, quindi sempre lavoro. Torna a casa, dorme, si sveglia, lavoro, lavoro. È poco tempo per noi, dice la ragazza, ma comunque avete visto che è una città un po' sospesa fra passato e futuro. Ma qual è il rapporto dei giovani con il sindacato? Da questa domanda partiremo subito dopo la pubblicità.",0
Ot4z0xYB7lQ,Terni Amarcord: Quando all'acciaieria vennero fuse 20 milioni delle vecchie lire in moneta,5 years ago,acciaieria,"Le vecchie lire che sono ormai giunte a fine vita e che vengono reintrodotte nel ciclo di produzione di nuovi acciai, similarmente della stessa classe, per dare vita ad un nuovo prodotto che avranno anch'esso un ciclo di vita. Vedete, io porto nelle mie mani delle monete che sono uscite dai nostri impianti circa 35 anni fa. Noi abbiamo prodotto il nastro dal quale è stata stampata questa moneta che ora, fatto il suo corso d'impiego, torna nello stesso ciclo, nello stesso stabilimento per dare di nuovo vita, possibilmente ad una nuova moneta, non è il caso perché l'Euro è già configurata diversamente, ma potrebbe rientrare benissimo nelle nostre famiglie e quindi avere comunque un rapporto, chiamiamolo intimità, di vicinanza, così come l'ha avuto nelle nostre tasche, diventando un coltello, un componente della lavatrice o altre cose di arredo. Come verranno chiusi? Questi verranno immersi eati come raffreddante, all'interno di un convertitore, la cui temperatura in questo momento, nel momento della giunta, è di circa 1700 gradi. E quindi passeranno immediatamente, con grande rapidità, allo stato liquido e produrranno un abbassamento della temperatura. Questa giunta che noi facciamo, tipicamente, per una tonnellata di materiale che mettiamo dentro, aggiungiamo circa 20 milioni di valore di moneta corrente fino a qualche mese fa. Nella realtà questa tonnellata da ravita con una anteriore tonnellata di acciaio, più valore commerciale, non è quello della moneta.",0
zstDarQPHok,Visita alle Acciaierie di Terni,5 years ago,acciaieria,"Il vicepresidente del Parlamento europeo, David Sassoli, ha visitato l'Ast di Terni. L'onorevole ha ribadito il suo impegno per difendere questa eccellenza italiana ed europea. in particolare dall'invasione della grande quantità che viene prodotta nei paesi asiatici. Lo può fare l'Italia e lo deve fare l'Europa. Però se l'Italia non si muove e il governo italiano non ci mette tenacia e impegno, qui la situazione può diventare grave. Tal proposito, le imminenti elezioni europee che possono dirci o che ci diranno? Beh che abbiamo bisogno dell'Europa per difendere anche il lavoro italiano. L'Italia si difende meglio con l'Europa. Da sola probabilmente non ce la potrebbe fare. Bisogna tutelare l'acciaio, ha aggiunto il vicepresidente, che è un asset strategico del nostro paese. Dobbiamo combattere il basso costo. L'acciaio è un punto di forza di tutti i nostri prodotti, di gran parte delle nostre produzioni, quindi abbiamo bisogno di difenderlo e qui c'è una cultura tra l'altro del lavoro importante che rispetta anche standard ambientali, che si è fatto a carico di processi di sicurezza importanti. Non possiamo permettere che il basso costo travolga la qualità italiana. Abbiamo presentato un'interrogazione urgente sulla questione degli acciai speciali di Terni in relazione al mercato indonesiano e noi ci aspettiamo che quei paletti che non vennero messi perché l'Indonesia era un paese in via di sviluppo, in questo momento sull'acciaio non reggono più. Abbiamo bisogno di un rapporto paritario perché la loro produzione è superata il 30% della produzione mondiale di acciaio inossidabile e questo vuol dire che non è più un paese in via di sviluppo, Marina Sereni, l'On. Sassoli è stato accompagnato dal direttore di produzione Dimitri Menecali, da quello delle relazioni esterne di Acciai Speciali Terni, Tullio Camiglieri, e da Fabio Di Gioia del servizio RESS.",0
8JHU1hdpDMs,"Forte boato alle acciaierie di Terni, il video",7 years ago,acciaieria,Un forte boato legato a un'esplosione avvenuta all'interno dell'acceleria è stato avvertito in gran parte della città di Terni. È avvenuto oggi poveriggio intorno alle ore 16 nei pressi del forno numero 4 degli impianti di Vallebrin. Una siviera piena di acciaio fuso che coperta con un saccone di terra parzialmente umida è esplosa liberando una nube di polvere visibile anche all'esterno dello stabilimento. Fortunatamente non si registrano né feriti né danni.,0
HvjbTPvl51Q,"Acciaierie di Terni, lettera del presidente Giovanni Arvedi ai dipendenti",3 years ago,acciaieria,"Dopo le ultime firme a Essen, sede della multinazionale Thyssen Groupi Vertici e del Gruppo Arvedi saranno il 2 febbraio a Terni per gli incontri con i sindacati e le RSU di AST, le storiche acciaierie Umbre che passano a Gruppo Cremonese. A gestire gli incontri Gian Pietro Castano, già responsabile dell'Unità a Gestione e Vertenze dell'Impresa in Crisi per conto del Mise e ora consulente del gruppo Arvedi. Venditori e acquirente hanno di comune accordo deciso di non divulgare i dettagli finanziari della transazione, ma sembra che complessivamente fra acquisizione e successivi investimenti previsti per AST, la cifra messa sul piatto dal gruppo Arvedi sia girerebbe intorno al miliardo di euro. ThyssenKrupp resterà in società con il 15% per rafforz di in una zona depressa della provincia di Cremona, scrive Arvedi, ho sempre cercato di servire le aziende che ho fondato e condotto con il supporto di preziosi collaboratori e straordinari dipendenti, affinché potessero crescere e svilupparsi, generare lavoro bene prezioso che conferisce dignità alla persona. Il nuovo amministratore delegato sarà Mario Arvedi Caldonazzo. Smentite dunque le voci che indicavano la conferma alla Guida Operativa di Terni come am di e seguendo fin dall'inizio con attenzione e discrezione per dimensione dell'operazione una delle più importanti in ambito siderurgico e si aprono ora nuoveacciaio speciale interno hanno due mercati molto complementari, cioè la divisione inossidabile del gruppo Arvedi esporta circa l'80% della propria produzione, mentre l'acciaio speciale interno esporta circa il 35%, quindi sono due realtà che insistono su territori complementari. L'elemento importante per il gruppo Arvedi è che diventa uno dei prelevi principali del settore dell'acciaio inossidabile in Europa, diventando praticamente il quarto produttore europeo di acciaio inossidabile.",0
MOJ3WOofK14,Acciai Speciali Terni: ufficiale la vendita al gruppo Arvedi,3 years ago,acciaieria,"Acciai Speciali Terni torna in Italia ed entra nel gruppo Arvedi. La notizia è stata ufficializzata con una nota sul sito della multinazionale tedesca ThyssenKrupp che ha portato a termine l'annunciata vendita del sito. ThyssenKrupp, si legge, ha annunciato la vendita di Acciai Speciali Terni, AST, inclusa la relativa organizzazione commerciale in Germania, Italia e Turchia, alla società italiana Arvedi, raggiungendo così un nuovo traguardo nel riassetto del gruppo. È stato concordato, viene aggiunto, di non divulgare il prezzo d'acquisto. La transizione è soggetta all'approvazione del Consiglio di sorveglianza di Thyssen Group e all'autorizzazione dell'autorità antitrust europea. Il closing dell'operazione di cessione di AST ad Arvedi è previsto entro il 1 settembre 2022 e Thyssen Group sta esaminando la possibilità di mantenere una partecipazione di minoranza nel gruppo AST. Lo si legge nella stessa nota del gruppo tedesco. I dettagli riguardo a tale possibilità, viene aggiunto, saranno concordati entro il closing. Il gruppo AST, con un fatturato di circa 1,7 miliardi di euro nell'esercizio 2019-2020, impiega attualmente circa 2.700 dipendenti. Con la vendita Thyssen Group si separa dalla quarta società in portafoglio nel segmento multitracks. Siamo lieti che il gruppo Arvedi sia il nuovo proprietario di AST, si legge ancora in quanto promuoverà lo sviluppo di AST con investimenti e innovazioni. Grazie alla combinazione con Acciaio Speciale Eterni, il gruppo Arvedi si consoliderà tra i principali player europei nel settore dell'acciaio. Il gruppo Arvedi si consoliderà tra i principali player europei nel settore dell'acciaio. Il gruppo Arvedi, a controllo familiare, è attivo principalmente nella produzione e lavorazione di acciaio al carbonio inossidabile. Arvedi impiega attualmente 3.500 dipendenti e ha annunciato investimenti significvedi in quanto ne completa, in una sinergia industriale, il mix produttivo, un'operazione di sistema paese che potrebbe dare inizio ad altri positivi sviluppi. Lo afferma il fondatore e presidente Giovanni Arvedi, sottolineando anche il segno di continuità e di fiducia che la società ThyssenKrupp ha desiderato dimostrare valutando la possibilità di mantenere una quota di partecipazione di minoranza in AST. Da parte sua, la multinazionale tedesca ha affermato di essere certa di consegnare AST in buone mani, come ha scritto in una lettera inviata ai circa 2.300 dipendenti. Sottotitoli e revision l'intera Umbria, anche la Presidente della Regione Donatella Tesei, secondo la quale la cessione dell'Ast dai tedeschi di Thyssenkrupp agli italiani di Arvedi ha una valenza più ampia e rimette al centro la produzione di acciaio, rilanciando il tema del nostro Paese. Il mio impegno comunque non cessa, ha detto ancora Tesei, anzi prosegue con l'attenzione che abbiamo sempre avuto nei confronti dell'Ast in vista del piano industriale che dovrà salvaguardare i livelli occupazionali e rilanciare il sito di Terni.",0
Pj1MSO0U1bA,Terni d'acciaio,10 years ago,acciaieria,"La fiamma di Terni arde nella Val Nerina, una conca verde bagnata dalla cascata delle Marmore. Una fiamma che lavora e tempra acciaio da più di un secolo e alimenta una città in cui natura e industria si fondono insieme. Qui nascono le acciaieri di Terni. 1500 chilometri quadrati di superficie, 37 chilometri di binari interni, un milione e mezzo di tonnellate di acciaio ogni anno. Noi siamo conosciuti nel mondo come la Terni, quindi proprio c'è un rapporto simbiotico con la città che va oltre tutta una serie di considerazioni. Il bisogno di un'industria siderurgica tutta italiana nacque nel 1884. Lo scopo era quello di fabbricare le corazze per le navi della Marina. Fu scelta Terni per sfruttare il bacino idrico della zona e per l'equidistanza dal tirreno e dall'adriatico che la riparava dai bombardamenti delle flotte nemiche. Una posizione ai tempi strategica che non impedì, durante la Seconda Guerra Mondiale, la distruzione della città dopo i raid aerei alleati e tedeschi della Thyssen Group dopo la mancata vendita ai finlandesi di Utukumpu, lavorano 2800 persone, che con l'indotto diventano 4000. Malgrado un fatturato da 2,3 miliardi di euro che ne fa la prima azienda nel centro Italia, il peso della crisi si sente anche qui. un miglioramento della nostra efficienza ed un recupero di competitività. Ieri ci confrontavamo con un altro produttore europeo dove più o meno i costi di fabbricazione del prodotto erano analoghi, oggi i nostri concorrenti nel più importanti sono produttori asiatici. Non conta tanto chi è il padrone, l'importante è che il padrone sia interessato a far la produttura meglio, a investirci, a renderla competitiva sul versante del mercato globale. Acciaio dunque, ma non solo. La disoccupazione a Terni, secondo gli ultimi dati Istat, è dell'8,6%, un punto in meno della media nazionale e quasi due rispetto a Perugia. Il segreto di questa relativa tenuta è l'integrazione tra lavoro e apprendistato. Questi sono le candele che servono per fare la scintilla, per far prendere fuoco la benzina con l'ossigeno. Questi ragazzi fanno parte dei 200 futuri estetiste e operai specializzati che hanno lasciato gli studi tradizionali e frequentano il centro di form legame molto solido. Abbiamo qua dentro un laboratorio di saldatura che sicuramente è tra i più attrezzati nell'Umbria, tanto che facciamo i corsi per l'Astra. Il saldatore che formavamo dieci anni fa è completamente diverso rispetto a quello che formiamo adesso. Oltre ai luoghi del lavoro c'è una città dove si vive bene. Lo dicono le classifiche del Sole 24 Ore, dove Terni ha superato Perugia e molti settori e lo confermano i cittadini. Credo che la qualità della vita sia buona. Posto che c'è molto su cui lavorare. È una cittadina dove si vive bene alla fine, però ti devi creare da solo il tuo futuro. Io me la trovo bene, poi con l'Andri non lo so. Il futuro di Terni sembrerebbe essere solido come l'acciaio su cui ha fondato la sua identità.",0
58UJHjYyQ6M,ACCIAI SPECIALI TERNI - Storia d'acciaio lunga oltre un secolo.  Acciaio inox e sostenibilità.,3 years ago,acciaieria,"Da 137 anni sul territorio umbro, l'acciaio inox di Acciai Speciali Terni è probabilmente presente in molte delle nostre case. Le acciaierie di Terni sono una storia di impresa che cambia il volto di un territorio. Con il suo milione e mezzo di metri quadri di estensione, Acciai Speciali Terni è una città nella città che da sola vale l'8% del Pilo dal cui stiamo parlando ci sono un milione e mezzo di metri quadri su cui camminiamo, quindi per dare un'idea è una superficie pari a 150 campi da calcio, una realtà che fa quasi il 10% del PIL della nostra regione, quindi una realtà che oltre che garantire occupazione deve anche garantire una posizione di leadership, una posizione di guida su tante cose. Una di queste, sulle quali io credo fermere modelli di sostenibilità riconosciuti. La sostenibilità è per Acciai Speciali Terni un valore e al tempo stesso una strategia. L'azienda ha infatti spontaneamente deciso di redigere ogni anno il rapporto di sostenibilità sociale nei confronti degli stakeholder e del territorio. Noi non siamo un soggetto per il quale è obbligatorio emettere un bilancio di sostenibilità, lo abbiamo fatto negli ultimi anni e continueremo a farlo perché da un lato vogliamo far vedere che i nostri numeri sono assolutamente allineati con le best practices del settore, dall'altro lato vogliamo essere anche un po' di stimolo per le imprese e le industrie del territorio che vogliono migliorare.",0
OFyuubHzGzs,Le acciaierie di Terni tornano italiane con il gruppo Arvedi,3 years ago,acciaieria,"E' una cosa positiva, dopo tanti anni un gruppo italiano che si riappropia di un qualcosa di importante. Viviamo in una società ormai globalizzata e quindi chi c'è c'è, l'importante è che però venga mantenuto il polo. E' un punto interrogativo, bisognerà vedere quelli che la prendono italiani quello che faranno italiani. a questo impianto. rispetto a una popolazione di poco superiore a 100.000 abitanti si capisce che un quarto delle famiglie ternani sono interessate potenzialmente dall'acciaieria. Quello che per ora è certo è solo il passaggio di proprietà e per questo qui a Terni si aspetta di sapere che ne sarà dell'acciaieria. Manca infatti un piano industriale che presumibilmente arriverà con il prossimo anno. Quando l'azienda viene sempre venduta c'è sempre un attimo di blackout a livello emotivo e anche a livello lavorativo perché non si sa mai cosa si va incontro. A prescindere da un proprietario italiano o meno, quello che emerge fortemente è un piano industriale concreto, forte. Taranto, Terni e forse anche Piombino, impianti che passano di mano per tornare di proprietà italiana e confermare la leadership del nostro paese insieme con la Germania nella produzione di questa materia prima. Si ritiene che una proprietà italiana abbia maggior rispetto di quella che è la nostra storia ultracentenaria industriale. Adesso rimangono delle preoccupazioni, delle aspirazioni, delle legittime aspirazioni a verificare quello che sarà il piano industriale che Arbedi potrà proporre sul territorio. Questo è il vero punto di snodo. Ma che la proprietà della produzione di acciaio torni italiana non basta per essere competitivi sul mercato, perché poi il prodotto bisogna venderlo. Una partita complicata a cui la politica dovrebbe interrogarsi. Rischiamo sempre di avere una concorrenza sleale da parte di altre nazioni.",0
8cLT69qKGJY,Acciaieria di Terni - il vescovo celebra in fabbrica in preparazione al Natale,6 years ago,acciaieria,"Il canto dell'Omino con gioiosi canti, la pace per tutti noi, per le nostre speranze, quelle di questa azienda, delle nostrelo e per prepararci ad essa. alla venuta del Signore nostro Gesù per tutti. la Ognuno è invitato a chiedersi con quale spirito vive questa missione. Certo, c'è tanta fatica, tanto sudore, a volte insofferenza. Il figlio di Dio si è fatto uomo, ha voluto egli stesso provare la fatica e il sudore e insegnarci a viverla con dignità, come missione da compiere. e a preparare l'incontro con il Signore. Nella verità, nella giustizia, nella correttezza dei rapporti, quelli personali, quelli aziendali e quelli sociali, noi ci giochiamo il valore e il destino della nostra esistenza e anche delle persone che ci sono state affidate. La nostra preghiera, la condivisione del medesimo destino, l'incontro con il Signore in preparazione al Natale, la nostra presenza qui sta ad indicare la volontà comune di vivere secondo giustizia, nell'accoglienza reciproca e del Signore che viene. e e nella giustizia le nostre relazioni e le scelte fondamentali della nostra vita, le stesse che Gesù Cristo ha voluto sperimentare nel primo Natale e ci ha insegnato a vivere in attesa del suo Orto. Per la Chiesa una Santa Cattolica professa il solo babatesimo per il peggiore. Il tuo saluto è l'inno di benedizione e di rode, padre onnipotente, principio e fine di tutte le cose, e sorgeranno cieli nuovi e terra nuova. Per la seconda volta il bilancio di acciai speciali terni si chiude con numeri importanti che raccontano più di ogni parola la crescita dell'azienda. L'utile è passato dagli 87 milioni dello scorso anno ai 98 milioni di questo appena concluso. Un risultato che conferma come la strategia intrapresa sia quella giusta, che il riposizionamento di AST sul mercato globale sta portando i suoi frutti e che l'azienda opera in relativa serenità. Questo è accaduto nonostante il 2018 sia stato per tutto il mercato siderurgico un anno particolarmente complesso. A partire dall'introduzione dei dazi statunitensi sull'acciaio proveniente dall'Asia che ha esposto l'Europa al rischio di divenire luogo di approdo per milioni di tonnellate di prodotto asiatico che non trova più sbocchi sul mercato del Nord America. Un rischio serio che si aggiunge ad un altro pericolo che grava sull'industria siderurgica italiana, il prezzo dell'energia.",0
XkeQKlNX6bc,La nostra storia: oltre 130 anni di Acciai Speciali Terni,8 years ago,acciaieria,"Siamo negli stabilimenti di Papigno della Terni dove si produce la calcio Cianaviti ed ecco come si fabbricano i principali concimi azotati. La decisione di affidare alla Terni le lavorazioni speciali e di qualità nel contesto di un vasto piazza Vincenzo Farnese altamente specializzato, capace di competere nell'area del MEC con i più importanti complessi europei, fattore decisivo per lo sviluppo economico e per il progresso civile della nazione italiana.",0
